,Airline,Source,Destination,Route,Total_Stops,Additional_Info,Price,journey_day,journey_month,Dep_hour,dep_min,Arrival_hour,Arrival_minute,duration_hours,duration_mins
0,IndiGo,Banglore,New Delhi,BLR → DEL,non-stop,No info,3897,24,3,22,20,1,10,2,50
1,Air India,Kolkata,Banglore,CCU → IXR → BBI → BLR,2 stops,No info,7662,1,5,5,50,13,15,7,25
2,Jet Airways,Delhi,Cochin,DEL → LKO → BOM → COK,2 stops,No info,13882,9,6,9,25,4,25,19,0
3,IndiGo,Kolkata,Banglore,CCU → NAG → BLR,1 stop,No info,6218,12,5,18,5,23,30,5,25
4,IndiGo,Banglore,New Delhi,BLR → NAG → DEL,1 stop,No info,13302,1,3,16,50,21,35,4,45
5,SpiceJet,Kolkata,Banglore,CCU → BLR,non-stop,No info,3873,24,6,9,0,11,25,2,25
6,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1 stop,In-flight meal not included,11087,12,3,18,55,10,25,15,30
7,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1 stop,No info,22270,1,3,8,0,5,5,21,5
8,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1 stop,In-flight meal not included,11087,12,3,8,55,10,25,25,30
9,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,8625,27,5,11,25,19,15,7,50
10,Air India,Delhi,Cochin,DEL → BLR → COK,1 stop,No info,8907,1,6,9,45,23,0,13,15
11,IndiGo,Kolkata,Banglore,CCU → BLR,non-stop,No info,4174,18,4,20,20,22,55,2,35
12,Air India,Chennai,Kolkata,MAA → CCU,non-stop,No info,4667,24,6,11,40,13,55,2,15
13,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,9663,9,5,21,10,9,20,12,10
14,IndiGo,Kolkata,Banglore,CCU → BLR,non-stop,No info,4804,24,4,17,15,19,50,2,35
15,Air India,Delhi,Cochin,DEL → AMD → BOM → COK,2 stops,No info,14011,3,3,16,40,19,15,26,35
16,SpiceJet,Delhi,Cochin,DEL → PNQ → COK,1 stop,No info,5830,15,4,8,45,13,15,4,30
17,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,10262,12,6,14,0,12,35,22,35
18,Air India,Delhi,Cochin,DEL → CCU → BOM → COK,2 stops,No info,13381,12,6,20,15,19,15,23,0
19,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,12898,27,5,16,0,12,35,20,35
20,GoAir,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,19495,6,3,14,10,19,20,5,10
21,Air India,Banglore,New Delhi,BLR → COK → DEL,1 stop,No info,6955,21,3,22,0,13,20,15,20
